velocidad_bala,distancia,salto,movimiento
-7.0,14.0,1,0
-7.0,21.0,1,0
-7.0,28.0,1,0
-7.0,35.0,1,0
-7.0,42.0,1,0
-7.0,49.0,1,0
-7.0,56.0,1,0
-7.0,63.0,1,0
-7.0,70.0,1,0
-7.0,77.0,1,0
-7.0,84.0,1,0
-7.0,91.0,1,0
-7.0,98.0,0,0
-7.0,105.0,0,0
-7.0,112.0,0,0
-7.0,119.0,0,0
-7.0,126.0,0,0
-7.0,133.0,0,0
-7.0,140.0,0,0
-7.0,147.0,0,0
-7.0,154.0,0,0
-8.0,874.0,0,1
-8.0,866.0,0,1
-8.0,853.0,0,1
-8.0,839.0,0,1
-8.0,826.0,0,1
-8.0,812.0,0,1
-8.0,798.0,0,1
-8.0,785.0,0,1
-8.0,771.0,0,1
-8.0,757.0,0,1
-8.0,743.0,0,1
-8.0,730.0,0,1
-8.0,716.0,0,1
-8.0,703.0,0,1
-8.0,689.0,0,1
-8.0,675.0,0,1
-8.0,662.0,0,1
-8.0,653.0,0,1
-8.0,651.0,0,1
-8.0,648.0,0,1
-8.0,646.0,0,1
-8.0,644.0,0,1
-8.0,642.0,0,1
-8.0,639.0,0,1
-8.0,637.0,0,1
-8.0,635.0,0,1
-8.0,633.0,0,1
-8.0,630.0,0,1
-8.0,628.0,0,1
-8.0,626.0,0,1
-8.0,623.0,0,1
-8.0,621.0,0,1
-8.0,618.0,0,0
-8.0,610.0,0,0
-8.0,602.0,0,0
-8.0,594.0,0,0
-8.0,586.0,0,0
-8.0,578.0,0,0
-8.0,570.0,0,0
-8.0,562.0,0,0
-8.0,554.0,0,0
-8.0,546.0,0,0
-8.0,538.0,0,0
-8.0,530.0,0,0
-8.0,522.0,0,0
-8.0,514.0,0,0
-8.0,506.0,0,0
-8.0,498.0,0,0
-8.0,490.0,0,0
-8.0,482.0,0,0
-8.0,474.0,0,0
-8.0,466.0,0,0
-8.0,458.0,0,0
-8.0,450.0,0,0
-8.0,442.0,0,0
-8.0,434.0,0,0
-8.0,426.0,0,0
-8.0,418.0,0,0
-8.0,410.0,0,0
-8.0,402.0,0,0
-8.0,394.0,0,0
-8.0,386.0,0,0
-8.0,378.0,0,0
-8.0,370.0,0,0
-8.0,362.0,0,0
-8.0,354.0,0,0
-8.0,346.0,0,0
-8.0,338.0,0,0
-8.0,330.0,0,0
-8.0,322.0,0,0
-8.0,314.0,0,0
-8.0,306.0,0,0
-8.0,298.0,0,0
-8.0,290.0,0,0
-8.0,282.0,0,0
-8.0,274.0,0,0
-8.0,266.0,0,0
-8.0,258.0,0,0
-8.0,250.0,0,0
-8.0,242.0,0,0
-8.0,234.0,0,0
-8.0,226.0,0,0
-8.0,218.0,0,0
-8.0,210.0,0,0
-8.0,202.0,0,0
-8.0,194.0,0,0
-8.0,186.0,0,0
-8.0,178.0,0,0
-8.0,170.0,0,0
-8.0,162.0,0,0
-8.0,154.0,0,0
-8.0,146.0,0,0
-8.0,138.0,1,0
-8.0,130.0,1,0
-8.0,122.0,1,0
-8.0,114.0,1,0
-8.0,106.0,1,0
-8.0,98.0,1,0
-8.0,90.0,1,0
-8.0,82.0,1,0
-8.0,74.0,1,0
-8.0,66.0,1,0
-8.0,58.0,1,0
-8.0,50.0,1,0
-8.0,42.0,1,0
-8.0,34.0,1,0
-8.0,26.0,1,0
-8.0,18.0,1,0
-8.0,10.0,1,0
-8.0,2.0,1,0
-8.0,6.0,1,0
-8.0,14.0,1,0
-8.0,22.0,1,0
-8.0,30.0,1,0
-8.0,38.0,1,0
-8.0,46.0,1,0
-8.0,54.0,1,0
-8.0,62.0,1,0
-8.0,70.0,1,0
-8.0,78.0,1,0
-8.0,86.0,1,0
-8.0,94.0,1,0
-8.0,102.0,1,0
-8.0,110.0,1,0
-8.0,118.0,0,0
-8.0,126.0,0,0
-8.0,134.0,0,0
-8.0,142.0,0,1
-8.0,150.0,0,1
-8.0,163.0,0,1
-9.0,856.0,0,1
-9.0,842.0,0,1
-9.0,827.0,0,1
-9.0,812.0,0,1
-9.0,798.0,0,1
-9.0,783.0,0,1
-9.0,768.0,0,1
-9.0,753.0,0,1
-9.0,739.0,0,1
-9.0,724.0,0,1
-9.0,709.0,0,1
-9.0,695.0,0,1
-9.0,680.0,0,1
-9.0,672.0,0,1
-9.0,668.0,0,1
-9.0,665.0,0,1
-9.0,661.0,0,1
-9.0,658.0,0,1
-9.0,655.0,0,1
-9.0,651.0,0,1
-9.0,648.0,0,1
-9.0,645.0,0,1
-9.0,642.0,0,1
-9.0,638.0,0,1
-9.0,635.0,0,1
-9.0,631.0,0,1
-9.0,628.0,0,1
-9.0,624.0,0,1
-9.0,621.0,0,1
-9.0,612.0,0,0
-9.0,603.0,0,0
-9.0,594.0,0,1
-9.0,585.0,0,1
-9.0,571.0,0,1
-9.0,556.0,0,1
-9.0,541.0,0,1
-9.0,527.0,0,1
-9.0,512.0,0,1
-9.0,497.0,0,1
-9.0,482.0,0,1
-9.0,468.0,0,1
-9.0,453.0,0,1
-9.0,438.0,0,1
-9.0,424.0,0,1
-9.0,409.0,0,1
-9.0,394.0,0,1
-9.0,380.0,0,1
-9.0,365.0,0,1
-9.0,357.0,0,1
-9.0,354.0,0,1
-9.0,350.0,0,1
-9.0,347.0,0,1
-9.0,344.0,0,1
-9.0,340.0,0,1
-9.0,337.0,0,1
-9.0,334.0,0,1
-9.0,330.0,0,1
-9.0,327.0,0,1
-9.0,324.0,0,1
-9.0,320.0,0,1
-9.0,317.0,0,1
-9.0,314.0,0,1
-9.0,310.0,0,1
-9.0,306.0,0,0
-9.0,297.0,0,0
-9.0,288.0,0,0
-9.0,279.0,0,0
-9.0,270.0,0,0
-9.0,261.0,0,0
-9.0,252.0,0,0
-9.0,243.0,0,0
-9.0,234.0,0,0
-9.0,225.0,0,0
-9.0,216.0,0,0
-9.0,207.0,0,0
-9.0,198.0,0,0
-9.0,189.0,0,0
-9.0,180.0,0,0
-9.0,171.0,0,0
-9.0,162.0,0,0
-9.0,153.0,0,0
-9.0,144.0,1,0
-9.0,135.0,1,0
-9.0,126.0,1,0
-9.0,117.0,1,0
-9.0,108.0,1,0
-9.0,99.0,1,0
-9.0,90.0,1,0
-9.0,81.0,1,0
-9.0,72.0,1,0
-9.0,63.0,1,0
-9.0,54.0,1,0
-9.0,45.0,1,0
-9.0,36.0,1,0
-9.0,27.0,1,0
-9.0,18.0,1,0
-9.0,9.0,1,0
-9.0,0.0,1,0
-9.0,9.0,1,0
-9.0,18.0,1,0
-9.0,27.0,1,0
-9.0,36.0,1,0
-9.0,45.0,1,0
-9.0,54.0,1,0
-9.0,63.0,1,0
-9.0,72.0,1,0
-9.0,81.0,1,0
-9.0,90.0,1,0
-9.0,99.0,1,0
-9.0,108.0,1,0
-9.0,117.0,1,0
-9.0,126.0,1,0
-9.0,135.0,1,0
-9.0,144.0,0,0
-9.0,153.0,0,0
-11.0,871.0,0,0
-11.0,860.0,0,0
-11.0,849.0,0,0
-11.0,838.0,0,0
-11.0,827.0,0,0
-11.0,816.0,0,0
-11.0,805.0,0,0
-11.0,794.0,0,0
-11.0,783.0,0,0
-11.0,772.0,0,0
-11.0,761.0,0,0
-11.0,750.0,0,0
-11.0,739.0,0,0
-11.0,728.0,0,0
-11.0,717.0,0,0
-11.0,706.0,0,0
-11.0,695.0,0,0
-11.0,684.0,0,0
-11.0,673.0,0,0
-11.0,662.0,0,0
-11.0,651.0,0,0
-11.0,640.0,0,0
-11.0,629.0,0,0
-11.0,618.0,0,0
-11.0,607.0,0,0
-11.0,596.0,0,0
-11.0,585.0,0,0
-11.0,574.0,0,0
-11.0,563.0,0,0
-11.0,552.0,0,0
-11.0,541.0,0,0
-11.0,530.0,0,0
-11.0,519.0,0,0
-11.0,508.0,0,0
-11.0,497.0,0,0
-11.0,486.0,0,0
-11.0,475.0,0,0
-11.0,464.0,0,0
-11.0,453.0,0,0
-11.0,442.0,0,0
-11.0,431.0,0,0
-11.0,420.0,0,0
-11.0,409.0,0,0
-11.0,398.0,0,0
-11.0,387.0,0,0
-11.0,376.0,0,0
-11.0,365.0,0,0
-11.0,354.0,0,0
-11.0,343.0,0,0
-11.0,332.0,0,0
-11.0,321.0,0,0
-11.0,310.0,0,0
-11.0,299.0,0,0
-11.0,288.0,0,0
-11.0,277.0,0,0
-11.0,266.0,0,0
-11.0,255.0,0,0
-11.0,244.0,0,0
-11.0,233.0,0,0
-11.0,222.0,0,0
-11.0,211.0,0,0
-11.0,200.0,0,0
-11.0,189.0,0,0
-11.0,178.0,1,0
-11.0,167.0,1,0
-11.0,156.0,1,0
-11.0,145.0,1,0
-11.0,134.0,1,0
-11.0,123.0,1,0
-11.0,112.0,1,0
-11.0,101.0,1,0
-11.0,90.0,1,0
-11.0,79.0,1,0
-11.0,68.0,1,0
-11.0,57.0,1,0
-11.0,46.0,1,0
-11.0,35.0,1,0
-11.0,24.0,1,0
-11.0,13.0,1,0
-11.0,2.0,1,0
-11.0,9.0,1,0
-11.0,20.0,1,0
-11.0,31.0,1,0
-11.0,42.0,1,0
-11.0,53.0,1,0
